latitude,longitude,weight
35.04332172,-89.88126335,11
35.24584347,-89.95421829,34
35.13617421,-89.95674764,36
35.2018468,-89.89352268,59
35.17914138,-89.87522025,39
35.22463639,-89.9323244,76
35.19677749,-89.74911617,70
35.16273879,-90.00433085,0
35.10830949,-89.903735,137
35.0544902,-89.8983988,0
35.2476952,-89.97757812,29
35.0950671,-89.96133569,202
35.21560873,-90.00024912,28
35.04816324,-89.95450381,103
35.23594852,-89.96617604,10
35.017964,-90.0818717,44
35.021013,-90.037462,70
35.16387742,-89.99079469,69
35.04553999,-89.96312848,22
35.15041297,-89.9615605,94
35.23045119,-89.96654282,137
35.02620179,-89.9509862,98
35.0543976,-90.07773654,14
35.1590678,-90.04262411,157
35.16250423,-89.97977439,24
35.2314897,-89.98681054,49
35.05577357,-89.9136711,57
35.04915625,-90.01645137,29
35.2112582,-90.00243478,66
35.21225098,-90.00004128,9
35.0443006,-89.9484861,18
35.1023562,-90.03702428,28
35.04523092,-89.88810903,285
35.16555516,-89.99075319,49
35.01174203,-90.04314361,54
35.10126329,-89.977029,262
35.06062727,-90.07540437,1
35.24591231,-89.94852267,10
35.08798628,-89.95789162,21
35.08226554,-90.01366321,1
35.11363515,-90.03036888,2
35.02223132,-90.04780864,43
35.060464,-89.89209459,18
35.22469467,-90.03914241,16
35.17088274,-89.80575556,7
35.17088274,-89.80575556,1
35.19957849,-90.01181078,70
35.02830906,-90.1056587,21
35.24560661,-89.97652853,63
35.24916511,-89.95537312,54
35.02719732,-90.10421681,48
35.24448961,-89.93461757,14
35.21801314,-89.92139007,71
35.15669782,-89.8486285,17
35.1590678,-90.04262411,44
35.24393891,-89.94147163,1
35.18663391,-89.84702643,22
35.15683019,-89.84691686,21
35.02712275,-90.05343643,67
35.04342008,-89.88125996,70
35.04342008,-89.88125996,70
35.21521805,-90.03729764,7
35.05631095,-89.91376157,54
35.03563817,-89.84204007,25
35.10903628,-89.96501236,56
35.22969848,-89.99174757,69
35.16748839,-89.97716963,113
35.16415926,-89.99078551,4
35.19684183,-89.90517274,14
35.20626693,-90.00064014,77
35.06662065,-89.9194731,77
35.17090388,-89.78686982,13
35.092339,-89.959991,119
35.1381651,-89.99098783,78
35.02824377,-90.09296784,48
35.21995452,-89.98839838,7
35.04158445,-89.83928955,35
35.17231748,-89.9800888,121
35.1570955,-89.76733576,0
35.01874458,-90.08243022,13
35.34181107,-94.41598165,32
35.17345991,-89.9347236,46
35.10483223,-89.98206417,104
35.15504354,-89.98508661,1
35.05499075,-89.91370257,16
35.0283926,-89.856009,35
35.21421274,-90.02996131,2
35.04820439,-90.08672565,42
35.0256568,-89.84869404,1
35.0949825,-90.04937567,107
35.17482685,-89.9368469,28
35.09193375,-89.89869144,96
35.09193375,-89.89869144,179
35.25014757,-89.97890651,25
35.1579457,-90.00908711,4
35.2492647,-89.97957949,23
35.04237945,-89.87267296,64
35.13613311,-89.9567498,118
35.0841975,-90.11279395,9
35.08208279,-89.97114073,11
35.06062727,-90.07540437,6
35.02198807,-90.05646006,156
35.14438845,-89.95225808,95
35.16322345,-90.03377397,15
35.21360654,-89.99004364,48
35.23210036,-89.96399226,233
35.22697829,-89.9191371,153
35.155062,-89.844977,42
35.00167833,-90.01138456,12
35.01363682,-90.04306079,63
35.16411228,-89.99078689,90
35.00377243,-90.04967875,64
35.15997824,-90.00677258,169
35.01174203,-90.04314361,4
35.19686004,-89.95482147,68
35.15793703,-90.00899895,78
35.1185457,-89.89068332,17
35.0384746,-90.06024023,50
35.04438836,-89.95676019,88
35.1716785,-90.02427,153
35.22014944,-90.01099884,19
35.04635334,-90.10089552,346
35.04613454,-89.88738612,328
35.05419006,-90.09673023,252
35.17354318,-89.95855837,249
35.17937791,-89.98684372,231
35.11436136,-89.93003033,216
35.06106663,-89.92842402,183
35.09213227,-89.96071618,150
35.00246595,-90.01761446,131
35.09387285,-89.96227574,131
35.09691035,-89.94262525,130
35.08695705,-89.88533437,125
35.14113705,-89.94301993,124
35.1059225,-89.9539594,119
35.11323007,-89.93930697,118
35.081293,-90.01529,115
35.15655108,-89.97406507,115
35.05474541,-90.07394154,114
35.16712705,-89.98670904,108
35.12508125,-90.05488428,105
35.14183275,-89.957094,103
35.17773167,-89.93406245,101
35.15754962,-89.80210723,98
35.1455137,-89.94136482,97
35.15874496,-89.99761795,95
35.05167727,-90.0744638,95
35.01403875,-90.04370706,94
35.083052,-89.92046895,93
35.10898104,-89.9432005,90
35.13303175,-89.952805,84
35.11354157,-89.96484429,83
35.16292031,-90.00067218,83
35.24173408,-89.99634847,80
35.16229877,-90.03088389,80
35.0841644,-89.91355112,77
35.13716185,-89.98768027,76
35.137268,-89.98751243,76
35.0964436,-89.92021488,75
35.10123075,-89.97703038,75
35.1440479,-89.96593347,75
35.2289987,-89.93856761,74
35.02387577,-89.9496599,70
35.22207622,-89.98464359,63
35.09358875,-89.92105966,61
35.0570018,-89.91905868,60
35.20549312,-89.99952823,55
35.16523927,-89.94548897,55
35.03809293,-90.10485416,55
35.11854396,-89.96821945,54
35.14982193,-90.017878,53
